
abandon	bỏ, từ bỏ
abandoned	bị bỏ rơi, bị ruồng bỏ
ability	khả năng, năng lực
able	có năng lực, có tài
unable	không có năng lực, không có tài
about	khoảng, về
above	ở trên, lên trên
abroad	ở, ra nước ngoài, ngoài trời
absence	sự vắng mặt
absen	vắng mặt, nghỉ
absolute	tuyệt đối, hoàn toàn
absolutely	tuyệt đối, hoàn toàn
absorb	thu hút, hấp thu, lôi cuốn
abuse	lộng hành, lạm dụng
academic	thuộc học viện, ĐH, viện hàn lâm
accent	trọng âm, dấu trọng âm
accept	chấp nhận, chấp thuận
acceptable	có thể chấp nhận, chấp thuận
unacceptable	không thể chấp nhận
access	lối, cửa, đường vào
accident	tai nạn, rủi ro
accidental	tình cờ, bất ngờ
accidentally	tình cờ, ngẫu nhiên
accommodation	sự thích nghi, điều tiết
accompany	đi theo, đi cùng, kèm theo
according to	theo, y theo
account	tài khoản, kế toán; tính toán, tính đến
accurate	đúng đắn, chính xác, xác đáng
accurately	đúng đắn, chính xác
accuse	tố cáo, buộc tội, kết tội
achieve	đạt được, dành được
achievement	thành tích, thành tựu
acid	axit
acknowledge	công nhận, thừa nhận
acquire	dành được, đạt được, kiếm được
across	qua, ngang qua
act	hành động, hành vi, cử chỉ, đối xử
action	hành động, hành vi, tác động
take action	hành động
active	tích cực hoạt động, nhanh nhẹn
actor	diễn viên
actual	thực tế, có thật
actually	hiện nay, hiện tại
advertisement	quảng cáo
adapt	tra, lắp vào
add	cộng, thêm vào
addition	tính cộng, phép cộng
in addition	thêm vào
additional	thêm vào, tăng thêm
address	địa chỉ, đề địa chỉ
adequate	đầy, đầy đủ
adequately	tương xứng, thỏa đáng
adjust	sửa lại cho đúng, điều chỉnh
admiration	sự khâm phục,người kp, thán phục
admire	khâm phục, thán phục
admit	nhận vào, cho vào, kết hợp
adopt	nhận làm con nuôi, bố mẹ nuôi
adult	người lớn, người trưởng thành; trưởng thành
advance	sự tiến bộ, tiến lên; đưa lên, đề xuất
advanced	tiên tiến, tiến bộ, cấp cao
advantage	sự thuận lợi, lợi ích, lợi thế
adventure	sự phiêu lưu, mạo hiểm
advertise	báo cho biết, báo cho biết trước
advertising	sự quảng cáo, nghề quảng cáo
advice	lời khuyên, lời chỉ bảo
advise	khuyên, khuyên bảo, răn bảo
affair	việc
affect	làm ảnh hưởng
afford	có thể, có đủ khả năng, điều kiện (làm gì)
afraid	sợ, sợ hãi, hoảng sợ
after	sau, đằng sau, sau khi
afternoon	buổi chiều
afterwards	sau này, về sau, rồi thì, sau đấy
again	lại, nữa, lần nữa
age	tuổi
aged	già đi (v)
agency	tác dụng, lực; môi giới, trung gian
agent	đại lý, tác nhân
aggressive	xâm lược, hung hăng (US: xông xáo)
ago	trước đây
agree	đồng ý, tán thành
agreement	sự đồng ý, tán thành; hiệp định, hợp đồng
ahead	trước, về phía trước
aid	sự giúp đỡ; thêm vào, phụ vào
aim	sự nhắm (bắn), mục tiêu, ý định; nhắm, tập trung, hướng vào
air	không khí, bầu không khí, không gian
aircraft	máy bay, khí cầu
airport	sân bay, phi trường
